Faction,Type,Tier,Name,Description/Abilities,PreRequisite,Role,BuildCost,MetalCost,EnergyCost,EnergyProduced,MetalProduced,BuildPower
Armada,Bot,0,Armada Commander,Commander,None,Commander,1,1250,26000,30,2,300
Armada,Bot,1,Tick,Fast Scout Bot,Bot Lab,Scout,800,15,340,0,0,
Armada,Bot,1,Pawn,Fast Infantry Bot,Bot Lab,Raider,1420,48,960,0,0,
Armada,Bot,1,Construction Bot,Constructor,Bot Lab,Worker,3453,110,1600,7,80,80
Armada,Bot,1,Lazarus,"Resurrection Bot; Repair, Reclaim",Bot Lab,Rezzer,2400,110,1400,0,0,200
Armada,Bot,1,Rocketeer,Rocket Bot,Bot Lab,Skirmisher,2015,120,1000,0,0,
Armada,Bot,1,Crossbow,Anti-air Bot,Bot Lab,Anti-Air,1831,125,1100,0,0,
Armada,Bot,1,Mace,Light Plasma Bot,Bot Lab,Assault,2210,130,1300,0,0,
Armada,Bot,1,Centurion,Medium Infantry Bot,Bot Lab,Riot,4210,270,3100,0,0,
Armada,Vehicle,1,Rover,Light Scout Vehicle,Vehicle Plant,Scout,950,31,370,0,0,
Armada,Vehicle,1,Groundhog,Stealthy Minelayer/Minesweeper; Radar Jammer,Vehicle Plant,Tech Minelayer,3519,57,1100,0,0,
Armada,Vehicle,1,Blitz,Fast Assault Tank,Vehicle Plant,Raider,1963,109,911,0,0,
Armada,Vehicle,1,Shellshocker,Light Artillery Vehicle,Vehicle Plant,Skirmisher,2998,135,2200,0,0,
Armada,Vehicle,1,Construction Vehicle,Constructor,Vehicle Plant,Worker,4066,135,1950,10,90,90
Armada,Vehicle,1,Whistler,Missile Truck,Vehicle Plant,Skirmisher,3415,150,2100,0,0,
Armada,Vehicle,1,Beaver,Amphibious Construction Vehicle,Vehicle Plant,Worker,6708,150,3100,0,90,90
Armada,Vehicle,1,Pincer,Light Amphibius Tank,Vehicle Plant,Raider,2613,200,2000,0,0,
Armada,Vehicle,1,Stout,Medium Assault Tank,Vehicle Plant,Assault,2904,225,2000,0,0,
Armada,Vehicle,1,Janus,Twin Rocket Launcher,Vehicle Plant,Riot,3545,240,2600,0,0,
Armada,Air,1,Blink,Scout Radar; Radar,Aircraft Plant,Scout,1,52,1550,0,0,
Armada,Air,1,Stork,Air Transport; Transport,Aircraft Plant,Tech Relocation,1,68,1300,0,0,
Armada,Air,1,Falcon,Fighter,Aircraft Plant,Anti-Air,1,73,2900,0,0,
Armada,Air,1,Cyclone,Seaplane Swarmer,Seaplane Platform,Anti-Air,1,90,4500,0,0,
Armada,Air,1,Construction Aircraft,Tech 1 Constructor,Aircraft Plant,Worker,1,110,3000,5,60,
Armada,Air,1,Horizon,Advanced Radar/Sonar Plane; Radar,Seaplane Platform,Scout,1,125,7000,0,0,
Armada,Air,1,Banshee,Light Gunship,Aircraft Plant,Anti-Ground,1,135,2300,0,0,
Armada,Air,1,Stormbringer,Bomber,Aircraft Plant,Anti-Structure,1,145,4200,0,0,
Armada,Air,1,Construction Seaplane,Tech 1 Constructor,Aircraft Plant,Worker,1,150,7800,5,60,60
Armada,Air,1,Sabre,Seaplane Gunship,Seaplane Platform,Anti-Ground,1,210,6400,0,0,
Armada,Air,1,Tsunami,Seaplane Bomber,Seaplane Platform,Anti-Structure,1,240,7500,0,0,
Armada,Air,1,Puffin,Torpedo Gunship,Seaplane Platform,Anti-Ship,1,290,6500,0,0,
Armada,Sea,1,Skater,Stealthy Patrol Boat/Light Anti Air/Sonar; Stealth,Shipyard,Scout,1,150,1000,0,0,
Armada,Sea,1,Dolphin,Fast Assault Corvette,Shipyard,Raider,1,165,1400,0,0,
Armada,Sea,1,Construction Ship,Tech 1 Constructor,Shipyard,Worker,1,200,2000,7,80,80
Armada,Sea,1,Grimp Reaper,Resurrection Sub; Resurrector,Shipyard,Rezzer,1,210,3000,0,0,
Armada,Sea,1,Ellysaw,Assault Frigate,Shipyard,Skirmisher,1,390,2600,0,0,
Armada,Sea,1,Eel,Submarine,Shipyard,Async Sniper,1,440,3100,0,0,
Armada,Sea,1,Corsair,Destroyer,Shipyard,,1,880,6600,0,0,
